English,Spanish
pity,lástima
signal,señal
sniff,oler
strap,Correa
contain,contener
survive,sobrevivir
sweater,suéter
west,Oeste
drawer,cajón
leap,salto
major,importante
peek,ojeada
suspect,sospechar
tour,recorrido
freeze,congelar
heaven,cielo
mask,mascarilla
surprisingly,asombrosamente
abruptly,abruptamente
begun,comenzar
customer,cliente
pad,almohadilla
design,diseño
flop,fracaso
pride,orgullo
yep,sí
interview,entrevista
makeup,constituir
blast,explosión
prince,Príncipe
rode,montó
bubble,burbuja
rent,alquilar
teen,adolescente
